Course Type,Course Title,Course Subtitle,Course Location,Subject,Beginning,Tuition fees per semester,Language,Duration,Course Link
Master's degree •,Advanced Architecture — From Urban Design to Building Construction,Frankfurt University of Applied Sciences •,Frankfurt am Main,Architecture,Summer semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7065/
Master's degree •,Advanced Computational Methods in Civil Engineering,RWTH Aachen University •,Aachen,Civil Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/
Master's degree •,Advanced Green Engineering and Sustainable Management,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau •,Zwickau,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8903/
Master's degree •,Advanced Manufacturing,Chemnitz University of Technology •,Chemnitz,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7612/
Master's degree •,Advanced Materials Analysis,TU Bergakademie Freiberg •,Freiberg,"Mining, Metallurgy",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5403/
Master's degree •,Advanced Signal Processing and Communications Engineering MSc,FAU Erlangen-Nürnberg •,Erlangen,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/
Master's degree •,AI Engineering of Autonomous Systems,Technische Hochschule Ingolstadt •,Ingolstadt,Electrical Engineering,"Winter semester, Summer semester",EUR 500,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8922/
Master's degree •,"Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE)",University of Stuttgart •,Stuttgart,Mechanical Engineering / Process Engineering,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3676/
Master's degree •,Air Transport and Logistics,Dresden University of Technology •,Dresden,"Transport Engineering, Nautical Science",Winter semester,none,English,"4 semesters, 8 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8911/
Master's degree •,"Analytical Instruments, Measurement and Sensor Technology (AIMS)",Coburg University of Applied Sciences and Arts •,Coburg,Engineering in general,Winter semester,"EUR 3,900",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3949/
Master's degree •,"Applied AI for Digital Production Management, MEng",Deggendorf Institute of Technology •,Cham,Industrial Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9024/
